"Taxa";"Protein";"Predicted_water_absorption";"Milling_yield";"Mixing energy";"Rmax";"Extensibility"
"171";"G1302";16.1559784087319;67.3722;77.8280542986425;NA;NA;18.05
"172";"G1313";15.7226450753985;65.6346;78.0205649038765;NA;NA;18.45
"173";"G1324";15.3893117420652;62.1594;77.0178638447073;NA;NA;19.15
"174";"G1336";15.7559784087319;61.2906;77.2132796780684;NA;NA;20.55
"175";"G1348";14.3226450753985;65.9242;76.55;NA;NA;19.55
"176";"G1360";15.7893117420652;63.3178;77.7;NA;NA;20.4
"177";"G1361";14.4226450753985;64.1866;77.65;NA;NA;20.15
"178";"G1372";14.5559784087319;64.7658;77.3;NA;NA;18.2
"179";"G1383";14.3226450753985;65.345;78.05;NA;NA;18.75
"180";"G1395";14.9226450753985;64.4762;78.1;NA;NA;19.2
"181";"G1407";14.9893117420652;65.6346;77.2;NA;NA;18.4
"182";"G1419";14.7226450753985;61.001;76.85;NA;NA;17.3
"183";"G1431";14.7559784087319;62.7386;77.4314268332244;NA;NA;21.6
"184";"G1443";15.8559784087319;61.2906;76.9327125098568;NA;NA;18.5
"185";"G1362";15.3226450753985;63.6074;77.495567925182;NA;NA;21.55
"186";"G1373";15.3893117420652;63.897;77.0890889196525;NA;NA;22.9
"187";"G1384";14.8559784087319;61.001;76.8823642817451;NA;NA;21.3
"188";"G1396";14.8559784087319;61.8698;76.9037368845232;NA;NA;17.1
"189";"G1408";15.5226450753985;65.9242;77.3838335253092;NA;NA;17.6
"190";"G1420";14.8559784087319;60.7114;77.8278521942756;NA;NA;20.2
"191";"G1432";15.3559784087319;61.2906;77.7665939719286;NA;NA;19.5
"192";"G1444";15.2226450753985;62.449;77.3059375843206;NA;NA;21.3
"193";"G1363";15.6559784087319;64.4762;77.9230308952761;NA;NA;18.3
"194";"G1374";14.7893117420652;59.2634;76.1940739916888;NA;NA;17.55
"195";"G1385";14.9226450753985;62.1594;76.7725578567808;NA;NA;19.95
"196";"G1397";14.1893117420652;58.9738;77.3504342638747;NA;NA;23.55
"197";"G1409";14.1893117420652;60.4218;76.2264199186058;NA;NA;17.7
"198";"G1421";14.0559784087319;58.3946;75.8;NA;NA;17.4
"199";"G1433";16.7893117420652;65.6346;76.6;NA;NA;18.25
"200";"G1445";15.7559784087319;63.6074;75.15;NA;NA;21.55
"201";"G1364";15.2226450753985;65.345;77.35;NA;NA;19.85
"202";"G1375";14.8226450753985;63.3178;78.1;NA;NA;18.7
"203";"G1386";14.5893117420652;63.3178;76.9;NA;NA;19.3
"204";"G1398";14.9226450753985;63.6074;76.45;NA;NA;17.75
"205";"G1410";15.0893117420652;66.793;77.5765479130167;NA;NA;17.05
"206";"G1422";14.0861224939632;63.6074;78.2477793313972;NA;NA;17.15
"207";"G1434";14.8893117420652;63.3178;76.0814889336016;NA;NA;17.05
"208";"G1446";14.4893117420652;61.8698;76.9559986997982;NA;NA;18.55
"209";"G1365";14.8559784087319;63.6074;75.2700418636261;NA;NA;19.8
"210";"G1376";14.8146939225346;64.1866;75.3585619510514;NA;NA;17.8
"211";"G1387";14.9559784087319;61.2906;75.685194973357;NA;NA;18.95
"212";"G1399";15.2559784087319;63.897;75.75;NA;NA;16.5
"213";"G1411";16.0226450753985;65.0554;75.5;NA;NA;17.25
"214";"G1423";14.4893117420652;57.2362;76.1;NA;NA;17.3
"215";"G1435";15.9559784087319;65.345;75.7;NA;NA;16.1
"216";"G1447";15.4226450753985;63.3178;75.3;NA;NA;18.05
"217";"G1366";15.1226450753986;61.8698;75.55;NA;NA;21.05
"218";"G1377";14.7893117420652;63.897;75.45;NA;NA;16.5
"219";"G1388";14.4893117420652;59.2634;75.85;NA;NA;16.15
"220";"G1400";16.8226450753985;73.1642;74.0811841365132;NA;NA;18.4
"221";"G1412";15.0559784087319;63.0282;75.7925701236624;NA;NA;16.75
"222";"G1424";13.8893117420652;55.7882;75.5348334161982;NA;NA;18.6
"223";"G1436";13.6893117420652;61.5802;77.1241772241489;NA;NA;17
"224";"G1448";14.1226450753985;57.2362;75.5465992607583;NA;NA;16.7
"225";"G1367";13.3559784087319;58.105;77.1995977878331;NA;NA;17.85
"226";"G1378";14.8893117420652;60.7114;75.4769076305221;NA;NA;19.4
"227";"G1389";13.3893117420652;58.3946;75.2890458327857;NA;NA;19.1
"228";"G1401";13.2893117420652;58.9738;77.635149092846;NA;NA;16.3
"229";"G1413";15.9559784087319;63.0282;75.9608312784414;NA;NA;19.1
"230";"G1425";15.2226450753985;61.8698;76.3686151641743;NA;NA;17.6
"231";"G1437";13.4432653511061;59.553;76.4438494309868;NA;NA;18.1
"232";"G1449";14.9893117420652;60.7114;75.6464708658845;NA;NA;19.1
"233";"G1368";13.7559784087319;62.1594;76.8090014921344;NA;NA;20.1
"234";"G1379";13.9226450753985;60.4218;75.678391959799;NA;NA;19.6
"235";"G1390";14.3004082082489;61.001;77.3902193773687;NA;NA;20.65
"236";"G1402";14.6226450753985;63.6074;76.9038000459815;NA;NA;17.35
"237";"G1414";15.7226450753985;63.3178;76.1808732559464;NA;NA;19.75
"238";"G1426";15.8226450753985;67.3722;76.777921954552;NA;NA;18.6
"239";"G1438";15.5226450753985;64.4762;76.7593273678052;NA;NA;19.2
"240";"G1450";15.5559784087319;66.5034;75.9096475765821;NA;NA;21.9
"241";"G1369";14.7559784087319;67.3722;76.8730803462082;NA;NA;18.4
"242";"G1380";14.8893117420652;66.2138;78.0316141512307;NA;NA;19.9
"243";"G1391";14.6226450753985;65.6346;77.0775467515466;NA;NA;17.9
"244";"G1403";13.9559784087319;60.4218;76.9655787728194;NA;NA;19.3
"245";"G1415";14.0559784087319;60.4218;75.4584322920479;NA;NA;17.4
"246";"G1427";14.9893117420652;63.897;76.9231469217314;NA;NA;19
"247";"G1439";14.9893117420652;63.897;76.3504527447651;NA;NA;17.1
"248";"G1451";15.3226450753985;63.0282;77.8585757271815;NA;NA;18.8
"249";"G1370";13.9861224939632;61.2906;77.1163462295638;NA;NA;19.85
"250";"G1392";15.6226450753985;61.8698;76.3;NA;NA;20.4
"251";"G1404";15.1893117420652;61.2906;77.29;NA;NA;21.25
"252";"G1416";15.9559784087319;63.3178;75.955;NA;NA;17.9
"253";"G1428";13.5893117420652;61.2906;77.54;NA;NA;18.5
"254";"G1440";15.4559784087319;62.7386;77.895;NA;NA;18.85
"255";"G1452";14.8893117420652;62.449;77.9;NA;NA;23.05
"256";"G1371";13.5893117420652;60.7114;76.755;NA;NA;17.5
"257";"G1381";14.4226450753985;56.9466;75.74;NA;NA;16.55
"258";"G1393";14.8559784087319;64.1866;77.8532501541915;NA;NA;18.7
"259";"G1405";14.3861224939632;63.6074;76.9289013841967;NA;NA;19.05
"260";"G1417";14.7226450753985;64.1866;77.1764822094343;NA;NA;19.8
"261";"G1429";14.5893117420652;59.2634;77.344776221318;NA;NA;19.35
"262";"G1441";15.2226450753985;63.0282;76.6599066074413;NA;NA;15.95
"263";"G1453";15.2559784087319;64.7658;77.5852935691497;NA;NA;18.4
"264";"G71";14.1226450753985;58.105;76.9791390335286;NA;NA;20.15
"265";"G1382";15.6226450753985;65.345;76.1821244828439;NA;NA;18.55
"266";"G1394";16.3559784087319;63.897;76.679050162652;NA;NA;18.5
"267";"G1406";15.4226450753985;62.1594;76.798145950955;NA;NA;19.2
"268";"G1418";14.6559784087319;63.6074;77.4534923539221;NA;NA;21.15
"269";"G1430";14.6893117420652;61.8698;77.5961449946537;NA;NA;19
"270";"G1442";15.5226450753985;63.897;77.7330720975415;NA;NA;18.7
"271";"G1454";15.0559784087319;58.9738;76.7027065948142;NA;NA;19.8
"272";"G78";14.3861405018358;NA;NA;NA;NA;NA
"273";"G80";13.0087305578867;NA;NA;NA;NA;NA
"274";"G58";12.6837305578867;NA;NA;NA;NA;NA
